#,Set Name,Prime Form,Vector,Description
127,5-32,1479,113221,Neapolitan Pentachord.2
128,5-33,2468,40402,Whole-tone Pentamirror
129,5-34,2469,32221,"Dominant-ninth/major-minor/Prometheus Pentamirror, Dominant Pentatonic (22332)"
130,5-35,2479,32140,"""Black Key"" Pentatonic/Slendro/Bilahariraga/Quartal Pentamirror, Yo (23232)"
131,5-Z36,1247,222121,Major-seventh Pentacluster.2
132,5-Z36,3567,222121,Minor-seventh Pentacluster.1
133,5-Z37,3458,212320,Center-cluster Pentamirror
134,5-Z38,1258,212221,Diminished Pentacluster.1
135,5-Z38,3678,212221,Diminished Pentacluster.2
136,6-1,12345,543210,"Chromatic Hexamirror/1st ord. all-comb (P6, Ib, RI5)"
137,6-2,12346,443211,comb I (b)
138,6-2,23456,443211,comb I (1)
139,6-Z3,12356,433221,
140,6-Z3,13456,433221,
141,6-Z4,12456,432321,comb RI (6)
142,6-5,12367,422232,comb I (b)
143,6-5,14567,422232,comb I (3)
144,6-Z6,12567,421242,Double-cluster Hexamirror
145,6-7,12678,420243,"Messiaen's mode 5 (114114), 2nd ord.all-comb(P3+9,I5,Ib,R6,RI2+8)"
146,6-8,23457,343230,"1st ord.all-comb (P6, I1, RI7)"
147,6-9,12357,342231,comb I (b)
148,6-9,24567,342231,comb I (3)
149,6-Z10,13457,333321,
150,6-Z10,23467,333321,
151,6-Z11,12457,333231,
152,6-Z11,23567,333231,
153,6-Z12,12467,332232,
154,6-Z12,13567,332232,
155,6-Z13,13467,324222,Alternating Hexamirror/comb RI7)
156,6-14,13458,323430,comb P (6)
157,6-14,34578,323430,comb P (6)
158,6-15,12458,323421,comb I (b)
159,6-15,34678,323421,comb I (5)
160,6-16,14568,322431,comb I (3)
161,6-16,23478,322431,"Megha or ""Cloud"" Raga/comb.I (1)"
162,6-Z17,12478,322332,
163,6-Z17,14678,322332,
164,6-18,12578,322242,comb I (b)
165,6-18,13678,322242,comb I (5)
166,6-Z19,13478,313431,
167,6-Z19,14578,313431,
168,6-20,14589,303630,"Augmented scale, Genus tertium, 3rd ord. all-comb (P2+6+10, I3+7+b, R4+8, RI1+5+9)"
169,6-21,23468,242412,comb I (1)
170,6-21,24568,242412,comb I (3)
171,6-22,12468,241422,comb I (b)
172,6-22,24678,241422,comb I (5)
173,6-Z23,23568,234222,Super-Locrian Hexamirror/comb RI (8)
174,6-Z24,13468,233331,
175,6-Z24,24578,233331,Melodic-minor Hexachord
176,6-Z25,13568,233241,Locrian Hexachord/Suddha Saveriraga
177,6-Z25,23578,233241,Minor Hexachord
178,6-Z26,13578,232341,Phrygian Hexamirror/comb RI (8)
179,6-27,13469,225222,comb I (b)
180,6-27,23569,225222,Pyramid Hexachord/comb I (1)
181,6-Z28,13569,224322,Double-Phrygian Hexachord/comb RI (6)
182,6-Z29,13689,224232,comb RI (9)
183,6-30,13679,224223,"Minor-bitonal Hexachord/comb R (6), I (5,b)"
